first_name,last_name,name,email,web_page,email2,department,institution,institution_address,institution_country,plenary,ms_1,ms_2,ms_3,ct_1,ct_2,ct_3,so_1,so_2,local_organiser,scientific_committee
Sarah,Nataj,Sarah Nataj,,,,,,,,,,,,,,,,,,
Sue Ann,Campbell,Sue Ann Campbell,,,,,,,,,,,,,,,,,,
Ibrahima,Dione,Ibrahima Dione,,,,,,,,,,,,,,,,,,
Vitalii ,Akimenko ,Vitalii  Akimenko ,,,,,,,,,,,,,,,,,,
Alexander,Alvarez,Alexander Alvarez,,,,,,,,,,,,,,,,,,
Yana,Nec,Yana Nec,,,,,,,,,,,,,,,,,,
Joseph,Baafi,Joseph Baafi,,,,,,,,,,,,,,,,,,
Pritha,Dutta,Pritha Dutta,,,,,,,,,,,,,,,,,,
Maliha,Ahmed,Maliha Ahmed,,,,,,,,,,,,,,,,,,
Robert G.,Owens,Robert G. Owens,,,,,,,,,,,,,,,,,,
Mahdi,Salehzadeh,Mahdi Salehzadeh,,,,,,,,,,,,,,,,,,
Marwa,Tuffaha,Marwa Tuffaha,,,,,,,,,,,,,,,,,,
Lindi,Wahl,Lindi Wahl,,,,,,,,,,,,,,,,,,
Mojgan,Ezadian,Mojgan Ezadian,,,,,,,,,,,,,,,,,,
Arwa,Baabdulla,Arwa Baabdulla,,,,,,,,,,,,,,,,,,
Ronald,Haynes,Ronald Haynes,,,,,,,,,,,,,,,,,,
Budhaditya,Chatterjee,Budhaditya Chatterjee,,,,,,,,,,,,,,,,,,
Merlin,Pelz,Merlin Pelz,,,,,,,,,,,,,,,,,,
Andreas,Handel,Andreas Handel,,,,,,,,,,,,,,,,,,
Ray,Wu,Ray Wu,,,,,,,,,,,,,,,,,,
David,Amundsen,David Amundsen,,,,,,,,,,,,,,,,,,
Sean,Bohun,Sean Bohun,,,,,,,,,,,,,,,,,,
Lucy,Campbell,Lucy Campbell,,,,,,,,,,,,,,,,,,
Lucas,Finney,Lucas Finney,,,,,,,,,,,,,,,,,,
Iain,Moyles,Iain Moyles,,,,,,,,,,,,,,,,,,
Chunhua,Ou,Chunhua Ou,,,,,,,,,,,,,,,,,,
Dmitry,Pelinovsky,Dmitry Pelinovsky,,,,,,,,,,,,,,,,,,
Merlin,Pelz,Merlin Pelz,,,,,,,,,,,,,,,,,,
Timothy,Peters,Timothy Peters,,,,,,,,,,,,,,,,,,
Francis,Poulin,Francis Poulin,,,,,,,,,,,,,,,,,,
Ray,Spiteri,Ray Spiteri,,,,,,,,,,,,,,,,,,
Phil,Trinh,Phil Trinh,,,,,,,,,,,,,,,,,,
Jean,Deteix,Jean Deteix,,,,,,,,,,,,,,,,,,
David,Shirokoff,David Shirokoff,,,,,,,,,,,,,,,,,,
Raymond,Spiteri,Raymond Spiteri,,,,,,,,,,,,,,,,,,
Chris,Vogl,Chris Vogl,,,,,,,,,,,,,,,,,,
Siqi,Wei,Siqi Wei,,,,,,,,,,,,,,,,,,
Avneet,Kaur,Avneet Kaur,,,,,,,,,,,,,,,,,,
Bouchra,Nasri,Bouchra Nasri,,,,,,,,,,,,,,,,,,
Jacques,Bélair,Jacques Bélair,,,,,,,,,,,,,,,,,,
Iain,Moyles,Iain Moyles,,,,,,,,,,,,,,,,,,
Roxane,de la Sablonnière,Roxane de la Sablonnière,,,,,,,,,,,,,,,,,,
Bert,Baumgaertner,Bert Baumgaertner,,,,,,,,,,,,,,,,,,
Dominik,Wodarz,Dominik Wodarz,,,,,,,,,,,,,,,,,,
Morgan,Craig,Morgan Craig,,,,,,,,,,,,,,,,,,
Andreas,Handel,Andreas Handel,,,,,,,,,,,,,,,,,,
Marwa,Tuffaha,Marwa Tuffaha,,,,,,,,,,,,,,,,,,
Budhaditya,Chatterjee,Budhaditya Chatterjee,,,,,,,,,,,,,,,,,,
Pranesh,Padmanabhan,Pranesh Padmanabhan,,,,,,,,,,,,,,,,,,
Samaneh,Gholami,Samaneh Gholami,,,,,,,,,,,,,,,,,,
Qiuyi,Su,Qiuyi Su,,,,,,,,,,,,,,,,,,
Arwa,Baabdulla,Arwa Baabdulla,,,,,,,,,,,,,,,,,,
David,Dick,David Dick,,,,,,,,,,,,,,,,,,
Chapin,Korosec,Chapin Korosec,,,,,,,,,,,,,,,,,,
Milan,Klöwer,Milan Klöwer,,,,,,,,,,,,,,,,,,
Giacomo,Rosilho De Souza,Giacomo Rosilho De Souza,,,,,,,,,,,,,,,,,,
Avleen,Kaur,Avleen Kaur,,,,,,,,,,,,,,,,,,
Rebecca,Tyson,Rebecca Tyson,,,,,,,,,,,,,,,,,,
Wilten,Nicola,Wilten Nicola,,,,,,,,,,,,,,,,,,
Jordan,Culp,Jordan Culp,,,,,,,,,,,,,,,,,,
Joern,Davidsen,Joern Davidsen,,,,,,,,,,,,,,,,,,
Jeremie,Lefebvre,Jeremie Lefebvre,,,,,,,,,,,,,,,,,,
Andre,Longtin,Andre Longtin,,,,,,,,,,,,,,,,,,
Scott,Rich,Scott Rich,,,,,,,,,,,,,,,,,,
Emma,Towlson,Emma Towlson,,,,,,,,,,,,,,,,,,
Maria,Vila,Maria Vila,,,,,,,,,,,,,,,,,,
Galen,Wilkerson,Galen Wilkerson,,,,,,,,,,,,,,,,,,
Yann-Meing,Law,Yann-Meing Law,,,,,,,,,,,,,,,,,,
Emmanuel,Lorin,Emmanuel Lorin,,,,,,,,,,,,,,,,,,
Jane Shaw,MacDonald,Jane Shaw MacDonald,,,,,,,,,,,,,,,,,,
Colin,MacDonald,Colin MacDonald,,,,,,,,,,,,,,,,,,
Paul,Muir,Paul Muir,,,,,,,,,,,,,,,,,,
Jianhong Wu,Wu,Jianhong Wu,,,,,,,,,,,,,,,,,,
Tom,Salisbury,Tom Salisbury,,,,,,,,,,,,,,,,,,
Matheus,Grasselli,Matheus Grasselli,,,,,,,,,,,,,,,,,,
Guillaume,Lajoie,Guillaume Lajoie,,,,,,,,,,,,,,,,,,
Ana,Mucalica,Ana Mucalica,,,,,,,,,,,,,,,,,,
